PSS_SCHOOL_ID,PSS_INST,LoGrade,HiGrade,PSS_ADDRESS,PSS_CITY,PSS_COUNTY_NO,PSS_COUNTY_FIPS,PSS_STABB,PSS_FIPS,PSS_ZIP5,PSS_PHONE,PSS_SCH_DAYS,PSS_STU_DAY_HRS,PSS_LIBRARY,PSS_ENROLL_UG,PSS_ENROLL_PK,PSS_ENROLL_K,PSS_ENROLL_1,PSS_ENROLL_2,PSS_ENROLL_3,PSS_ENROLL_4,PSS_ENROLL_5,PSS_ENROLL_6,PSS_ENROLL_7,PSS_ENROLL_8,PSS_ENROLL_9,PSS_ENROLL_10,PSS_ENROLL_11,PSS_ENROLL_12,PSS_ENROLL_T,PSS_ENROLL_TK12,PSS_RACE_AI,PSS_RACE_AS,PSS_RACE_H,PSS_RACE_B,PSS_RACE_W,PSS_RACE_P,PSS_RACE_2,PSS_FTE_TEACH,PSS_LOCALE,PSS_COED,PSS_TYPE,PSS_LEVEL,PSS_RELIG,PSS_COMM_TYPE,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,P_PACISL_PCT,P_TWOMORE_PCT,PSS_STDTCH_RT,PSS_ORIENT,PSS_COUNTY_NAME,PSS_ASSOC_1,PSS_ASSOC_2,PSS_ASSOC_3,PSS_ASSOC_4,PSS_ASSOC_5,PSS_ASSOC_6,PSS_ASSOC_7,PSS_ASSOC_8
A0901275,ATLANTA COUNTRY DAY SCHOOL,11,17,8725 DUNWOODY PL STE 2,ATLANTA,13121,121,GA,13,30350,7709980311,160,7,Yes,,,,,,,,,1,1,1,2,8,9,10,32,32,0,0,0,1,31,0,0,4.6,12,1,1,3,3,1,0,0,0,3.13,96.88,0,0,6.96,30,FULTON,Other school association(s),,,,,,,
A0102860,ATLANTA GIRLS SCHOOL,11,17,3254 NORTHSIDE PKWY NW,ATLANTA,13121,121,GA,13,30327,4048450900,182,7,Yes,,,,,,,,,34,36,54,36,29,34,23,246,246,0,13,5,61,155,0,12,23.9,11,2,1,3,3,1,0,5.28,2.03,24.8,63.01,0,4.88,10.29,30,FULTON,National Coalition of Girls' Schools (NCGS),National Association of Independent Schools (NAIS),State or regional independent school association,Other school association(s),,,,
A9303093,ATLANTA INTERNATIONAL SCHOOL,2,17,2890 N FULTON DR NE,ATLANTA,13121,121,GA,13,30305,4048413871,180,7.5,Yes,,113,72,70,65,69,68,74,98,93,95,88,101,78,84,1168,1055,1,137,42,47,793,0,35,165,11,1,1,3,3,1,0.09,12.99,3.98,4.45,75.17,0,3.32,6.39,30,FULTON,European Council for International Schools (ECIS),National Association of Independent Schools (NAIS),,,,,,
AA890264,ATLANTA JEWISH ACAD OF GREENFIELS ELEM ACAD,2,13,5200 NORTHLAND DR,ATLANTA,13121,121,GA,13,30342,4048439900,180,7.58,Yes,,16,34,40,42,32,33,48,30,25,40,,,,,340,324,0,0,0,2,322,0,0,70,12,1,1,1,2,1,0,0,0,0.62,99.38,0,0,4.63,18,FULTON,State or regional independent school association,,,,,,,
00296991,ATLANTA JEWISH ACADEMY UPPER SCHOOL,14,17,3130 RAYMOND DR,ATLANTA,13089,089,GA,13,30340,7704515299,180,8.83,Yes,,,,,,,,,,,,28,22,22,23,95,95,0,1,0,0,94,0,0,19.9,21,1,1,2,2,2,0,1.05,0,0,98.95,0,0,4.77,18,DEKALB,State or regional independent school association,,,,,,,
A9102113,ATLANTA NORTH SCHOOL OF SEVENTH-DAY ADVENTISTS,2,13,5123 CHAMBLEE DUNWOODY RD,DUNWOODY,13089,089,GA,13,30338,7705128456,175,7,Yes,,8,9,13,5,9,11,7,6,13,6,,,,,87,79,0,4,24,21,25,1,4,5,21,1,1,1,2,2,0,5.06,30.38,26.58,31.65,1.27,5.06,15.8,28,DEKALB,General Conference of the Seventh-Day Adventist Church (GCSDAC),National Independent Private School Association (NIPSA),Other school association(s),,,,,
00298853,ATLANTA SPEECH SCHOOL,2,11,3160 NORTHSIDE PKWY NW,ATLANTA,13121,121,GA,13,30327,4042335332,180,6.5,Yes,,177,45,42,45,36,39,10,7,,,,,,,401,224,1,3,9,13,190,1,7,35.9,11,1,4,1,3,1,0.45,1.34,4.02,5.8,84.82,0.45,3.13,6.24,30,FULTON,National Association for the Education of Young Children (NAEYC),National Association of Independent Schools (NAIS),,,,,,
A1501223,ATLANTA TRILINGUAL ACADEMY,2,9,3605 CAMPBELLTON RD SW,ATLANTA,13121,121,GA,13,30331,4046474995,200,8,No,,14,6,3,6,4,3,,,,,,,,,36,22,0,1,2,17,1,0,1,5.6,11,1,3,1,3,1,0,4.55,9.09,77.27,4.55,0,4.55,3.93,30,FULTON,This school does not belong to ANY associations or organizations,,,,,,,
00299008,AUGUSTA CHRISTIAN SCHOOLS,2,17,313 BASTON RD,MARTINEZ,13073,073,GA,13,30907,7068632905,180,6,Yes,,54,12,26,28,26,26,24,43,36,43,43,47,70,65,543,489,0,30,8,64,387,0,0,53.4,21,1,1,3,2,2,0,6.13,1.64,13.09,79.14,0,0,9.16,8,COLUMBIA,Association of Christian Schools International (ACSI),,,,,,,
00297452,AUGUSTA PREPARATORY DAY SCHOOL,2,17,285 FLOWING WELLS RD,MARTINEZ,13073,073,GA,13,30907,7064342424,176,7,Yes,,15,16,20,26,26,27,27,45,40,44,48,64,55,58,511,496,8,39,13,21,415,0,0,73.3,21,1,1,3,3,2,1.61,7.86,2.62,4.23,83.67,0,0,6.77,30,COLUMBIA,National Association of Independent Schools (NAIS),State or regional independent school association,,,,,,
